The Domestic Supply of Commodities by Industries - Summary
The Domestic Supply of Commodities by Industries - Summary

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T007,MCIF,MADJ,T013,Trade,Trans,T014,MDTY,TOP,SUB,T015,T016
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Commodity Output,Imports,CIF/FOB Adjustments on Imports,Total product supply (basic prices),Trade margins,Transport margins,Total trade and transportation margins,Import duties,Tax on products,Subsidies on products,Total tax less subsidies on products,Total product supply (purchaser prices)
111CA,Farms,569652,30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,274,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,683,---,570639,57971,---,628610,192675,86656,279331,158,11373,-13234,-1703,906238
113FF,"Forestry, fishing, and related activities",6066,65943,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,95,---,---,---,---,1430,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1015,---,3965,---,78514,24157,---,102670,13445,5921,19366,224,1603,---,1826,123863
211,Oil and gas extraction,---,---,519504,0,296,140,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,335,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,520275,219545,---,739820,28979,69066,98045,142,25504,---,25645,863509
212,"Mining, except oil and gas",---,---,56,107782,0,---,---,---,697,---,---,---,---,---,---,---,---,---,---,---,---,---,---,48,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,836,---,109419,7186,---,116605,10268,35485,45752,10,6428,---,6438,168795
213,Support activities for mining,---,---,27291,8786,76403,---,---,---,0,---,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,112481,1538,---,114020,---,---,---,---,0,---,0,114020
22,Utilities,---,---,---,---,---,647971,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,227,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,516,26282,1462,170745,847203,4508,---,851711,---,---,---,---,36434,---,36434,888145
23,Construction,---,840,284,12175,5898,2783,2131476,1004,1366,348,3088,889,81,118,782,1228,582,748,250,62,3,136,24,396,225,182,9607,10,0,1605,4821,32,169,1,55,0,96,111,125,23,80,1259,859,4,1,5,0,26672,371,80,2,9,652,87,1420,2,624,817,1274,39,142,622,576,1085,993,526,3,370,---,23249,---,2243447,---,---,2243447,---,---,---,---,2894,---,2894,2246341
321,Wood products,12,---,---,---,---,---,---,168696,23,---,262,---,0,---,---,---,568,111,---,---,---,222,19,---,3,220,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,257,---,170393,36536,---,206930,60588,13810,74398,864,7298,---,8162,289489
327,Nonmetallic mineral products,---,---,---,231,---,---,---,50,151617,134,238,192,16,100,0,---,39,36,---,1,75,31,---,188,121,104,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,153172,36311,---,189483,62996,38397,101393,2189,7433,---,9622,300498
