The Use of Commodities by Industries - Summary
The Use of Commodities by Industries - Summary

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total use of products
111CA,Farms,156211,436,---,63,27,---,4097,---,---,---,---,---,---,---,---,---,---,253,389907,1568,---,---,---,---,30248,---,1068,493,1733,354,520,---,---,---,---,---,---,38,---,---,---,---,---,0,---,---,---,0,4,---,1,1,2419,45,1952,---,316,---,---,---,---,---,436,98,8721,13,12,-105,---,6733,---,607665,233600,---,---,---,---,-25457,90431,---,---,---,---,---,---,---,---,---,---,---,---,906238
113FF,"Forestry, fishing, and related activities",28194,10959,---,183,---,---,---,22828,1,---,---,---,---,---,---,---,138,388,10534,---,74,5023,43,---,514,3134,---,---,1240,---,0,---,---,---,---,---,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,615,35,5,---,77,---,---,---,---,---,416,533,10672,104,---,570,24,6565,---,102870,12886,---,---,---,---,926,7180,---,---,---,---,---,---,---,---,---,---,---,---,123863
211,Oil and gas extraction,---,---,64163,12,62,36273,---,21,3,7,7,---,---,---,4,---,---,---,13,---,---,8,4,543842,8310,20,75,34,11,15,154,---,---,---,---,---,44,---,501,867,65,44,205,---,---,---,---,---,217,---,---,4,87,21,23,30,1550,30,7,12,24,13,218,18,14,103,---,0,1512,---,22868,681516,---,---,---,---,---,8651,173343,---,---,---,---,---,---,---,---,---,---,---,---,863509
212,"Mining, except oil and gas",1829,0,248,10629,130,10511,28927,11,16010,16709,881,182,11,136,119,120,16,142,1318,50,---,1596,---,5624,7441,176,43,---,---,---,5,---,153,0,10,1,---,2,3,25,50,463,2463,---,---,---,---,23,---,---,---,---,2833,55,1625,94,620,---,29,42,287,616,1246,183,1326,1909,---,5215,---,3728,6914,132779,324,113,---,---,---,3625,31955,---,---,---,---,---,---,---,---,---,---,---,---,168795
213,Support activities for mining,---,---,21225,2233,1500,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,59,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,25022,---,2765,---,---,83010,925,2297,---,---,---,---,---,---,---,---,---,---,---,---,114020
22,Utilities,10188,134,18120,4722,348,50897,13609,2164,4740,7320,5324,2571,1770,950,4262,3850,679,1009,9124,1119,22,6670,1576,14761,16092,6670,23752,5971,14171,11654,33895,3148,92,150,7233,431,1869,2099,3424,1352,714,9214,7930,2796,1710,588,997,1496,44325,2462,1053,1286,8535,7222,4942,1908,5598,4516,10158,4175,1747,1321,4543,6320,31188,10942,3036,1797,3332,36602,4219,524604,358884,---,---,---,---,---,4658,---,---,---,---,---,---,---,---,---,---,---,---,888145
23,Construction,1625,44,358,3652,1310,7757,412,440,1209,1602,1603,983,561,217,1049,499,149,422,2240,146,5,1209,371,6805,2229,1072,5957,1793,1493,2896,7191,300,2688,53,1049,674,548,1694,1131,218,93,2784,2055,7172,2357,891,41,71214,57232,2165,251,116,3755,1117,1279,293,1528,779,2074,763,934,313,865,2962,3949,5183,12017,1546,763,45429,70490,368059,---,---,---,916604,579945,---,118,---,---,---,12779,---,---,---,15693,---,---,---,353143,2246341
321,Wood products,654,161,---,441,230,9,103097,50547,284,634,309,1185,555,1229,5683,370,11053,2091,451,84,1,6877,2,---,314,3299,11787,236,1034,273,2349,---,5628,---,306,---,6,85,179,59,197,1344,2696,370,11,---,---,82,12127,1439,21,68,1795,8,1650,54,49,686,794,6,1286,18,362,1333,1742,548,12,104,2,7070,425,247801,10808,---,---,22157,7,1503,7212,---,---,---,---,---,1,---,---,---,---,---,---,289489
327,Nonmetallic mineral products,31,104,3414,808,726,80,143256,1347,23469,3641,2098,2265,394,2591,11058,463,407,1093,4531,40,---,614,1,2533,2058,3038,167,371,84,548,1616,---,21,---,206,0,0,21,102,4,4,3879,1440,31,40,68,---,238,106,1666,0,362,9363,32,1311,474,78,3625,4027,211,955,21,226,158,4051,2692,51,1141,---,3302,4803,257555,28743,---,---,---,---,2232,11968,---,---,---,---,---,---,---,---,---,---,---,---,300498
331,Primary metals,150,---,15690,746,276,5,9997,449,2425,115002,120110,57992,6918,25735,71372,10032,4941,7741,2610,131,---,1515,34,18,57,2813,1342,14,---,0,575,---,978,---,---,---,---,231,---,14,23,609,1625,---,---,---,---,1,3903,210,---,0,3110,77,885,445,208,212,42,15,447,41,497,37,235,1298,184,1418,---,151,1011,476595,1993,---,---,---,---,3294,40585,---,---,---,---,---,---,---,---,---,---,---,---,522467
332,Fabricated metal products,2203,281,17514,1489,727,1991,174029,4985,2924,6303,53498,33012,8085,14787,36916,16226,6113,5760,21205,648,84,6601,1082,2332,10968,11523,5113,496,461,309,4360,301,550,1682,2574,496,2229,638,1395,1093,74,15082,4271,679,394,---,19,38,3413,4269,47,5125,11539,841,4150,5708,672,518,2585,46,4183,83,1065,2234,5497,8052,6580,2019,302,6482,8035,566987,68505,20142,---,---,---,10510,49054,---,161,---,---,---,233,---,---,---,134,---,---,715726
333,Machinery,2845,73,20753,5163,3013,1041,60974,688,198,1792,6098,46242,389,2922,42528,4407,159,1346,6938,45,2,1167,1782,82,6521,3233,4081,297,213,181,1418,22,75,49,578,94,73,5748,2374,81,56,1697,1946,9,60,831,---,84,335,1992,26,3644,4776,666,6997,7169,2629,1254,1001,180,309,33,290,93,1307,10503,828,562,63,7626,3215,295866,52492,403958,---,---,---,26138,145089,---,3296,---,---,---,134,---,---,---,11793,---,---,938766
334,Computer and electronic products,35,1,138,36,87,124,10806,1624,900,2227,7668,9641,52700,6109,29035,28889,1161,2780,3466,519,22,1390,1538,654,6195,3475,58220,1558,768,917,4156,7,104,1,432,6,8,124,248,4754,986,28496,14814,1097,1761,59,752,2,903,378,1993,10278,18444,14908,11187,1437,1516,13400,1118,192,745,47,254,487,308,5244,28584,8442,0,3715,2049,416119,219344,333504,---,466,---,9841,125765,---,24942,---,---,---,4075,---,---,---,6461,---,---,1140517
335,"Electrical equipment, appliances, and components",7709,141,425,95,800,28,78414,689,152,2244,4332,21615,3023,15695,9875,2151,141,1104,1646,68,2,630,117,254,1552,1767,2255,512,169,1750,733,2,443,35,191,268,3,107,232,10,---,6242,679,170,86,45,---,17,1877,955,0,6064,9049,119,3020,1517,647,17,1639,1123,752,78,612,972,903,7183,2887,6621,74,2226,5430,222382,127086,64380,---,15781,---,6297,42263,---,995,---,---,---,147,---,---,---,822,---,---,480153
3361MV,"Motor vehicles, bodies and trailers, and parts",1081,148,2637,1059,361,51,3490,2795,816,1039,2157,16017,1248,831,247481,3618,602,1123,5839,97,1,1773,222,276,1963,1010,12581,9172,3308,720,11700,---,83,---,10194,616,1,149,2131,234,199,1654,837,231,35,---,---,---,---,4455,---,167,5612,815,20682,2217,441,732,2307,159,2665,132,185,223,1963,25422,6676,258,4058,10206,1791,442747,481331,312365,---,---,---,24678,120841,---,18228,---,---,---,17924,---,---,---,49094,---,---,1467207
3364OT,Other transportation equipment,---,31,---,1,---,---,40,26,---,---,88,455,---,---,1572,70657,---,---,---,---,---,---,---,---,---,---,0,117,---,---,---,1761,1219,1263,95,118,---,3284,---,---,---,8,---,---,---,---,---,---,---,---,---,---,2256,59,88,111,---,---,---,---,0,---,246,---,---,334,65103,982,3,0,126,150041,60091,68763,---,---,---,4201,94602,---,43216,---,---,---,2815,---,---,---,282,---,---,424012
